KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
h,ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ, , , , , , 
[lL], ,ሉ,ሊ,ላ,ሌ,ል,ሎ, , , , , , 
H, ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ, , , , , , 
[mM], ,ሙ,ሚ,ማ,ሜ,ም,ሞ, , , , , , 
ss, ,ሡ,ሢ,ሣ,ሤ,ሥ,ሦ, , , , , , 
[rR], ,ሩ,ሪ,ራ,ሬ,ር,ሮ, , , , , , 
s, ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ, , , , , , 
[xX], ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ, , , , , , 
[xX][xX], ,ⶡ,ⶢ,ⶣ,ⶤ,ⶥ,ⶦ, , , , , , 
[qQ], ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ, , , , , , 
[bBvV], ,ቡ,ቢ,ባ,ቤ,ብ,ቦ, , , , , , 
t, ,ቱ,ቲ,ታ,ቴ,ት,ቶ, , , , , , 
c, ,ቹ,ቺ,ቻ,ቼ,ች,ቾ, , , , , , 
cc, ,ⶩ,ⶪ,ⶫ,ⶬ,ⶭ,ⶮ, , , , , , 
[nN], ,ኑ,ኒ,ና,ኔ,ን,ኖ, , , , , , 
a,እ,ኡ,ኢ,ኣ,ኤ,አ,ኦ, , , , , , 
[kK], ,ኩ,ኪ,ካ,ኬ,ክ,ኮ, , , , , , 
[wW], ,ዉ,ዊ,ዋ,ዌ,ው,ዎ, , , , , , 
z, ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ, , , , , , 
Z, ,ዡ,ዢ,ዣ,ዤ,ዥ,ዦ, , , , , , 
ZZ, ,ⶱ,ⶲ,ⶳ,ⶴ,ⶵ,ⶶ, , , , , , 
[yY], ,ዩ,ዪ,ያ,ዬ,ይ,ዮ, , , , , , 
[dD], ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ, , , , , , 
[jJ], ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ, , , , , , 
[gG], ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ, , , , , , 
T, ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ, , , , , , 
C, ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ, , , , , , 
CC, ,ⶹ,ⶺ,ⶻ,ⶼ,ⶽ,ⶾ, , , , , , 
P, ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ, , , , , , 
S, ,ጹ,ጺ,ጻ,ጼ,ጽ,ጾ, , , , , , 
p, ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ, , , , , , 
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
